label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,2,5,4,11,15,4,-0.35355339059327379,0.8030303030303029,0.25,0.8333333333333334,1.0,0,1,1,1,2,2,0,0,0,-1,-1
u_2,2,5,4,11,15,4,-0.35355339059327368,0.8030303030303031,0.25,0.8333333333333334,1.0,0,1,1,1,2,2,0,0,0,-1,-1
u_2,4,2,3,9,15,3,0.046747349500422829,0.7592592592592592,0.625,0.7777777777777777,1.0,2,2,2,2,2,2,0,0,0,3,-1
u_2,2,4,3,9,14,3,-0.070014004201400484,0.3866666666666666,0.6666666666666666,0.25555555555555554,0.5,3,4,2,2,3,2,0,0,0,-1,-1
u_2,3,4,3,10,13,5,0.023688968483956734,0.6458333333333334,0.7777777777777778,0.3888888888888889,0.8333333333333333,4,4,5,3,3,4,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,9,6,15,10,-1,0.375,1.0,0,1.0,1.0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,3,4,3,10,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,1,1,1,3,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,1,1,1,3,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
